Person,M00,M01,M02,M10,M11,M12,M20,M21,M22
11,350115,55290375,8745639375,31093425,4910439630,776702686950,2878027665,454490799300,-9788362588
11,355980,56194605,8885461995,31658760,4998219045,790371285435,2935543170,463478747835,-14556768567
11,367965,58059675,9176612325,32761890,5170515405,817363397025,3045935220,480802627755,-24370062469
11,375615,59266845,9367904145,33517200,5290337355,836440820145,3125482470,493471808565,-19237480569
11,385050,60752985,9602245065,34788630,5491711620,868359344310,3294772890,520370262480,-29339161982
11,386835,61067910,9657518100,35147415,5552691810,878709834090,3347287845,529218276960,-26099600508
11,391680,61831125,9777906405,35833620,5660614695,895702782915,3440140230,543808201155,-7735213253
11,384030,60589275,9576087165,34907205,5510137155,871238921355,3326168745,525298298895,-9802245613
11,383265,60432705,9545514705,34904655,5504877270,869626481640,3334247145,525947432250,-7401453508
11,338640,72550305,15557941425,29156955,6239514675,1336500729405,2617973565,559502227155,14696111737
11,342210,73141395,15647716725,29468565,6293267145,1345260350685,2648628135,565066263405,-6421775971
11,353175,75268860,16057106220,30617085,6520284720,1389922668150,2769342075,589206907110,1236503780
11,361080,76730010,16321863540,30715770,6524017410,1387112390670,2738204280,581185058460,200381360
11,355215,75193890,15934222230,30267480,6403869315,1356317603055,2692055910,569147072265,-2399197075
11,371790,78440550,16566487590,31410135,6624849255,1398699884175,2781558105,586381569585,8246461837
11,371025,78002205,16415848125,31578435,6637409535,1396518500955,2812193805,590890227645,-2850442651
11,383010,80333925,16866137835,32468385,6809423865,1429458196335,2900238165,608146408635,31193616665
11,384540,80378550,16818384240,32444925,6781430220,1418804441430,2884231815,602794385760,14388918374
11,370515,77306055,16145720505,31312215,6533520495,1364556844305,2784714495,581039879055,17073711717
11,379185,95442165,24041727675,40893585,10292867430,1806659456292,4536221265,1141696995600,-21554775806
11,392955,98369820,24643738560,41478810,10386238230,1881032725452,4532285850,1135122966570,-25320862444
11,365160,91038825,22713934005,38819670,9678713955,1774896947281,4261385580,1062457254435,-20993587991
11,367710,91199730,22636890600,38703645,9599918190,1846011967210,4212828225,1044982864590,-19064048842
